anime_id,genre_id,genre_weight,is_primary
1,6,0.5,1
1,11,0.3,0
1,17,0.2,0
2,10,0.2,0
2,11,0.5,1
2,18,0.3,0
3,3,0.2,0
3,7,0.3,0
3,16,0.5,1
4,5,0.5,1
4,10,0.3,0
4,15,0.2,0
5,3,0.3,0
5,7,0.2,0
5,8,0.5,1
6,10,0.3,0
6,13,0.5,1
6,18,0.2,0
7,11,0.2,0
7,17,0.3,0
7,18,0.5,1
8,4,0.2,0
8,5,0.5,1
8,6,0.3,0
9,10,0.5,1
9,13,0.3,0
9,15,0.2,0
10,2,0.3,0
10,8,0.2,0
10,15,0.5,1
11,1,0.2,0
11,2,0.5,1
11,9,0.3,0
12,7,0.5,1
12,12,0.2,0
12,16,0.3,0
13,1,0.3,0
13,6,0.2,0
13,14,0.5,1
14,12,0.3,0
14,16,0.2,0
14,17,0.5,1
15,1,0.3,0
15,4,0.5,1
15,9,0.2,0
16,2,0.2,0
16,8,0.3,0
16,9,0.5,1
17,13,0.2,0
17,14,0.5,1
17,15,0.3,0
18,1,0.5,1
18,4,0.3,0
18,6,0.2,0
19,6,0.5,1
19,11,0.3,0
19,17,0.2,0
20,10,0.2,0
20,11,0.5,1
20,18,0.3,0
21,3,0.2,0
21,7,0.3,0
21,16,0.5,1
22,5,0.5,1
22,10,0.3,0
22,15,0.2,0
23,3,0.3,0
23,7,0.2,0
23,8,0.5,1
24,10,0.3,0
24,13,0.5,1
24,18,0.2,0
25,11,0.2,0
25,17,0.3,0
25,18,0.5,1
26,4,0.2,0
26,5,0.5,1
26,6,0.3,0
27,10,0.5,1
27,13,0.3,0
27,15,0.2,0
28,2,0.3,0
28,8,0.2,0
28,15,0.5,1
29,1,0.2,0
29,2,0.5,1
29,9,0.3,0
30,7,0.5,1
30,12,0.2,0
30,16,0.3,0
31,1,0.3,0
31,6,0.2,0
31,14,0.5,1
32,12,0.3,0
32,16,0.2,0
32,17,0.5,1
33,1,0.3,0
33,4,0.5,1
33,9,0.2,0
34,2,0.2,0
34,8,0.3,0
34,9,0.5,1
35,13,0.2,0
35,14,0.5,1
35,15,0.3,0
36,1,0.5,1
36,4,0.3,0
36,6,0.2,0
37,6,0.5,1
37,11,0.3,0
37,17,0.2,0
38,10,0.2,0
38,11,0.5,1
38,18,0.3,0
39,3,0.2,0
39,7,0.3,0
39,16,0.5,1
40,5,0.5,1
40,10,0.3,0
40,15,0.2,0
41,3,0.3,0
41,7,0.2,0
41,8,0.5,1
42,10,0.3,0
42,13,0.5,1
42,18,0.2,0
43,11,0.2,0
43,17,0.3,0
43,18,0.5,1
44,4,0.2,0
44,5,0.5,1
44,6,0.3,0
45,10,0.5,1
45,13,0.3,0
45,15,0.2,0
46,2,0.3,0
46,8,0.2,0
46,15,0.5,1
47,1,0.2,0
47,2,0.5,1
47,9,0.3,0
48,7,0.5,1
48,12,0.2,0
48,16,0.3,0
49,1,0.3,0
49,6,0.2,0
49,14,0.5,1
50,12,0.3,0
50,16,0.2,0
50,17,0.5,1
51,1,0.3,0
51,4,0.5,1
51,9,0.2,0
52,2,0.2,0
52,8,0.3,0
52,9,0.5,1
53,13,0.2,0
53,14,0.5,1
53,15,0.3,0
54,1,0.5,1
54,4,0.3,0
54,6,0.2,0
55,6,0.5,1
55,11,0.3,0
55,17,0.2,0
56,10,0.2,0
56,11,0.5,1
56,18,0.3,0
57,3,0.2,0
57,7,0.3,0
57,16,0.5,1
58,5,0.5,1
58,10,0.3,0
58,15,0.2,0
59,3,0.3,0
59,7,0.2,0
59,8,0.5,1
60,10,0.3,0
60,13,0.5,1
60,18,0.2,0
61,11,0.2,0
61,17,0.3,0
61,18,0.5,1
62,4,0.2,0
62,5,0.5,1
62,6,0.3,0
63,10,0.5,1
63,13,0.3,0
63,15,0.2,0
64,2,0.3,0
64,8,0.2,0
64,15,0.5,1
65,1,0.2,0
65,2,0.5,1
65,9,0.3,0
66,7,0.5,1
66,12,0.2,0
66,16,0.3,0
67,1,0.3,0
67,6,0.2,0
67,14,0.5,1
68,12,0.3,0
68,16,0.2,0
68,17,0.5,1
69,1,0.3,0
69,4,0.5,1
69,9,0.2,0
70,2,0.2,0
70,8,0.3,0
70,9,0.5,1
71,13,0.2,0
71,14,0.5,1
71,15,0.3,0
72,1,0.5,1
72,4,0.3,0
72,6,0.2,0
73,6,0.5,1
73,11,0.3,0
73,17,0.2,0
74,10,0.2,0
74,11,0.5,1
74,18,0.3,0
75,3,0.2,0
75,7,0.3,0
75,16,0.5,1
76,5,0.5,1
76,10,0.3,0
76,15,0.2,0
77,3,0.3,0
77,7,0.2,0
77,8,0.5,1
78,10,0.3,0
78,13,0.5,1
78,18,0.2,0
79,11,0.2,0
79,17,0.3,0
79,18,0.5,1
80,4,0.2,0
80,5,0.5,1
80,6,0.3,0
81,10,0.5,1
81,13,0.3,0
81,15,0.2,0
82,2,0.3,0
82,8,0.2,0
82,15,0.5,1
83,1,0.2,0
83,2,0.5,1
83,9,0.3,0
84,7,0.5,1
84,12,0.2,0
84,16,0.3,0
85,1,0.3,0
85,6,0.2,0
85,14,0.5,1
86,12,0.3,0
86,16,0.2,0
86,17,0.5,1
87,1,0.3,0
87,4,0.5,1
87,9,0.2,0
88,2,0.2,0
88,8,0.3,0
88,9,0.5,1
89,13,0.2,0
89,14,0.5,1
89,15,0.3,0
90,1,0.5,1
90,4,0.3,0
90,6,0.2,0
91,6,0.5,1
91,11,0.3,0
91,17,0.2,0
92,10,0.2,0
92,11,0.5,1
92,18,0.3,0
93,3,0.2,0
93,7,0.3,0
93,16,0.5,1
94,5,0.5,1
94,10,0.3,0
94,15,0.2,0
95,3,0.3,0
95,7,0.2,0
95,8,0.5,1
96,10,0.3,0
96,13,0.5,1
96,18,0.2,0
97,11,0.2,0
97,17,0.3,0
97,18,0.5,1
98,4,0.2,0
98,5,0.5,1
98,6,0.3,0
99,10,0.5,1
99,13,0.3,0
99,15,0.2,0
100,2,0.3,0
100,8,0.2,0
100,15,0.5,1
101,1,0.2,0
101,2,0.5,1
101,9,0.3,0
102,7,0.5,1
102,12,0.2,0
102,16,0.3,0
103,1,0.3,0
103,6,0.2,0
103,14,0.5,1
104,12,0.3,0
104,16,0.2,0
104,17,0.5,1
105,1,0.3,0
105,4,0.5,1
105,9,0.2,0
106,2,0.2,0
106,8,0.3,0
106,9,0.5,1
107,13,0.2,0
107,14,0.5,1
107,15,0.3,0
108,1,0.5,1
108,4,0.3,0
108,6,0.2,0
109,6,0.5,1
109,11,0.3,0
109,17,0.2,0
110,10,0.2,0
110,11,0.5,1
110,18,0.3,0
111,3,0.2,0
111,7,0.3,0
111,16,0.5,1
112,5,0.5,1
112,10,0.3,0
112,15,0.2,0
113,3,0.3,0
113,7,0.2,0
113,8,0.5,1
114,10,0.3,0
114,13,0.5,1
114,18,0.2,0
115,11,0.2,0
115,17,0.3,0
115,18,0.5,1
116,4,0.2,0
116,5,0.5,1
116,6,0.3,0
117,10,0.5,1
117,13,0.3,0
117,15,0.2,0
118,2,0.3,0
118,8,0.2,0
118,15,0.5,1
119,1,0.2,0
119,2,0.5,1
119,9,0.3,0
120,7,0.5,1
120,12,0.2,0
120,16,0.3,0
121,1,0.3,0
121,6,0.2,0
121,14,0.5,1
122,12,0.3,0
122,16,0.2,0
122,17,0.5,1
123,1,0.3,0
123,4,0.5,1
123,9,0.2,0
124,2,0.2,0
124,8,0.3,0
124,9,0.5,1
125,13,0.2,0
125,14,0.5,1
125,15,0.3,0
126,1,0.5,1
126,4,0.3,0
126,6,0.2,0
127,6,0.5,1
127,11,0.3,0
127,17,0.2,0
128,10,0.2,0
128,11,0.5,1
128,18,0.3,0
129,3,0.2,0
129,7,0.3,0
129,16,0.5,1
130,5,0.5,1
130,10,0.3,0
130,15,0.2,0
131,3,0.3,0
131,7,0.2,0
131,8,0.5,1
132,10,0.3,0
132,13,0.5,1
132,18,0.2,0
133,11,0.2,0
133,17,0.3,0
133,18,0.5,1
134,4,0.2,0
134,5,0.5,1
134,6,0.3,0
135,10,0.5,1
135,13,0.3,0
135,15,0.2,0
136,2,0.3,0
136,8,0.2,0
136,15,0.5,1
137,1,0.2,0
137,2,0.5,1
137,9,0.3,0
138,7,0.5,1
138,12,0.2,0
138,16,0.3,0
139,1,0.3,0
139,6,0.2,0
139,14,0.5,1
140,12,0.3,0
140,16,0.2,0
140,17,0.5,1
141,1,0.3,0
141,4,0.5,1
141,9,0.2,0
142,2,0.2,0
142,8,0.3,0
142,9,0.5,1
143,13,0.2,0
143,14,0.5,1
143,15,0.3,0
144,1,0.5,1
144,4,0.3,0
144,6,0.2,0
145,6,0.5,1
145,11,0.3,0
145,17,0.2,0
146,10,0.2,0
146,11,0.5,1
146,18,0.3,0
147,3,0.2,0
147,7,0.3,0
147,16,0.5,1
148,5,0.5,1
148,10,0.3,0
148,15,0.2,0
149,3,0.3,0
149,7,0.2,0
149,8,0.5,1
150,10,0.3,0
150,13,0.5,1
150,18,0.2,0
151,11,0.2,0
151,17,0.3,0
151,18,0.5,1
152,4,0.2,0
152,5,0.5,1
152,6,0.3,0
153,10,0.5,1
153,13,0.3,0
153,15,0.2,0
154,2,0.3,0
154,8,0.2,0
154,15,0.5,1
155,1,0.2,0
155,2,0.5,1
155,9,0.3,0
156,7,0.5,1
156,12,0.2,0
156,16,0.3,0
157,1,0.3,0
157,6,0.2,0
157,14,0.5,1
158,12,0.3,0
158,16,0.2,0
158,17,0.5,1
159,1,0.3,0
159,4,0.5,1
159,9,0.2,0
160,2,0.2,0
160,8,0.3,0
160,9,0.5,1
161,13,0.2,0
161,14,0.5,1
161,15,0.3,0
162,1,0.5,1
162,4,0.3,0
162,6,0.2,0
163,6,0.5,1
163,11,0.3,0
163,17,0.2,0
164,10,0.2,0
164,11,0.5,1
164,18,0.3,0
165,3,0.2,0
165,7,0.3,0
165,16,0.5,1
166,5,0.5,1
166,10,0.3,0
166,15,0.2,0
167,3,0.3,0
167,7,0.2,0
167,8,0.5,1
168,10,0.3,0
168,13,0.5,1
168,18,0.2,0
169,11,0.2,0
169,17,0.3,0
169,18,0.5,1
170,4,0.2,0
170,5,0.5,1
170,6,0.3,0
171,10,0.5,1
171,13,0.3,0
171,15,0.2,0
172,2,0.3,0
172,8,0.2,0
172,15,0.5,1
173,1,0.2,0
173,2,0.5,1
173,9,0.3,0
174,7,0.5,1
174,12,0.2,0
174,16,0.3,0
175,1,0.3,0
175,6,0.2,0
175,14,0.5,1
176,12,0.3,0
176,16,0.2,0
176,17,0.5,1
177,1,0.3,0
177,4,0.5,1
177,9,0.2,0
178,2,0.2,0
178,8,0.3,0
178,9,0.5,1
179,13,0.2,0
179,14,0.5,1
179,15,0.3,0
180,1,0.5,1
180,4,0.3,0
180,6,0.2,0
181,6,0.5,1
181,11,0.3,0
181,17,0.2,0
182,10,0.2,0
182,11,0.5,1
182,18,0.3,0
183,3,0.2,0
183,7,0.3,0
183,16,0.5,1
184,5,0.5,1
184,10,0.3,0
184,15,0.2,0
185,3,0.3,0
185,7,0.2,0
185,8,0.5,1
186,10,0.3,0
186,13,0.5,1
186,18,0.2,0
187,11,0.2,0
187,17,0.3,0
187,18,0.5,1
188,4,0.2,0
188,5,0.5,1
188,6,0.3,0
189,10,0.5,1
189,13,0.3,0
189,15,0.2,0
190,2,0.3,0
190,8,0.2,0
190,15,0.5,1
191,1,0.2,0
191,2,0.5,1
191,9,0.3,0
192,7,0.5,1
192,12,0.2,0
192,16,0.3,0
193,1,0.3,0
193,6,0.2,0
193,14,0.5,1
194,12,0.3,0
194,16,0.2,0
194,17,0.5,1
195,1,0.3,0
195,4,0.5,1
195,9,0.2,0
196,2,0.2,0
196,8,0.3,0
196,9,0.5,1
197,13,0.2,0
197,14,0.5,1
197,15,0.3,0
198,1,0.5,1
198,4,0.3,0
198,6,0.2,0
199,6,0.5,1
199,11,0.3,0
199,17,0.2,0
200,10,0.2,0
200,11,0.5,1
200,18,0.3,0
201,3,0.2,0
201,7,0.3,0
201,16,0.5,1
202,5,0.5,1
202,10,0.3,0
202,15,0.2,0
203,3,0.3,0
203,7,0.2,0
203,8,0.5,1
204,10,0.3,0
204,13,0.5,1
204,18,0.2,0
205,11,0.2,0
205,17,0.3,0
205,18,0.5,1
206,4,0.2,0
206,5,0.5,1
206,6,0.3,0
207,10,0.5,1
207,13,0.3,0
207,15,0.2,0
208,2,0.3,0
208,8,0.2,0
208,15,0.5,1
209,1,0.2,0
209,2,0.5,1
209,9,0.3,0
210,7,0.5,1
210,12,0.2,0
210,16,0.3,0
211,1,0.3,0
211,6,0.2,0
211,14,0.5,1
212,12,0.3,0
212,16,0.2,0
212,17,0.5,1
213,1,0.3,0
213,4,0.5,1
213,9,0.2,0
214,2,0.2,0
214,8,0.3,0
214,9,0.5,1
215,13,0.2,0
215,14,0.5,1
215,15,0.3,0
216,1,0.5,1
216,4,0.3,0
216,6,0.2,0
217,6,0.5,1
217,11,0.3,0
217,17,0.2,0
218,10,0.2,0
218,11,0.5,1
218,18,0.3,0
219,3,0.2,0
219,7,0.3,0
219,16,0.5,1
220,5,0.5,1
220,10,0.3,0
220,15,0.2,0
221,3,0.3,0
221,7,0.2,0
221,8,0.5,1
222,10,0.3,0
222,13,0.5,1
222,18,0.2,0
223,11,0.2,0
223,17,0.3,0
223,18,0.5,1
224,4,0.2,0
224,5,0.5,1
224,6,0.3,0
225,10,0.5,1
225,13,0.3,0
225,15,0.2,0
226,2,0.3,0
226,8,0.2,0
226,15,0.5,1
227,1,0.2,0
227,2,0.5,1
227,9,0.3,0
228,7,0.5,1
228,12,0.2,0
228,16,0.3,0
229,1,0.3,0
229,6,0.2,0
229,14,0.5,1
230,12,0.3,0
230,16,0.2,0
230,17,0.5,1
231,1,0.3,0
231,4,0.5,1
231,9,0.2,0
232,2,0.2,0
232,8,0.3,0
232,9,0.5,1
233,13,0.2,0
233,14,0.5,1
233,15,0.3,0
234,1,0.5,1
234,4,0.3,0
234,6,0.2,0
235,6,0.5,1
235,11,0.3,0
235,17,0.2,0
236,10,0.2,0
236,11,0.5,1
236,18,0.3,0
237,3,0.2,0
237,7,0.3,0
237,16,0.5,1
238,5,0.5,1
238,10,0.3,0
238,15,0.2,0
239,3,0.3,0
239,7,0.2,0
239,8,0.5,1
240,10,0.3,0
240,13,0.5,1
240,18,0.2,0
241,11,0.2,0
241,17,0.3,0
241,18,0.5,1
242,4,0.2,0
242,5,0.5,1
242,6,0.3,0
243,10,0.5,1
243,13,0.3,0
243,15,0.2,0
244,2,0.3,0
244,8,0.2,0
244,15,0.5,1
245,1,0.2,0
245,2,0.5,1
245,9,0.3,0
246,7,0.5,1
246,12,0.2,0
246,16,0.3,0
247,1,0.3,0
247,6,0.2,0
247,14,0.5,1
248,12,0.3,0
248,16,0.2,0
248,17,0.5,1
249,1,0.3,0
249,4,0.5,1
249,9,0.2,0
250,2,0.2,0
250,8,0.3,0
250,9,0.5,1
251,13,0.2,0
251,14,0.5,1
251,15,0.3,0
252,1,0.5,1
252,4,0.3,0
252,6,0.2,0
253,6,0.5,1
253,11,0.3,0
253,17,0.2,0
254,10,0.2,0
254,11,0.5,1
254,18,0.3,0
255,3,0.2,0
255,7,0.3,0
255,16,0.5,1
256,5,0.5,1
256,10,0.3,0
256,15,0.2,0
257,3,0.3,0
257,7,0.2,0
257,8,0.5,1
258,10,0.3,0
258,13,0.5,1
258,18,0.2,0
259,11,0.2,0
259,17,0.3,0
259,18,0.5,1
260,4,0.2,0
260,5,0.5,1
260,6,0.3,0
261,10,0.5,1
261,13,0.3,0
261,15,0.2,0
262,2,0.3,0
262,8,0.2,0
262,15,0.5,1
263,1,0.2,0
263,2,0.5,1
263,9,0.3,0
264,7,0.5,1
264,12,0.2,0
264,16,0.3,0
265,1,0.3,0
265,6,0.2,0
265,14,0.5,1
266,12,0.3,0
266,16,0.2,0
266,17,0.5,1
267,1,0.3,0
267,4,0.5,1
267,9,0.2,0
268,2,0.2,0
268,8,0.3,0
268,9,0.5,1
269,13,0.2,0
269,14,0.5,1
269,15,0.3,0
270,1,0.5,1
270,4,0.3,0
270,6,0.2,0
271,6,0.5,1
271,11,0.3,0
271,17,0.2,0
272,10,0.2,0
272,11,0.5,1
272,18,0.3,0
273,3,0.2,0
273,7,0.3,0
273,16,0.5,1
274,5,0.5,1
274,10,0.3,0
274,15,0.2,0
275,3,0.3,0
275,7,0.2,0
275,8,0.5,1
276,10,0.3,0
276,13,0.5,1
276,18,0.2,0
277,11,0.2,0
277,17,0.3,0
277,18,0.5,1
278,4,0.2,0
278,5,0.5,1
278,6,0.3,0
279,10,0.5,1
279,13,0.3,0
279,15,0.2,0
280,2,0.3,0
280,8,0.2,0
280,15,0.5,1
281,1,0.2,0
281,2,0.5,1
281,9,0.3,0
282,7,0.5,1
282,12,0.2,0
282,16,0.3,0
283,1,0.3,0
283,6,0.2,0
283,14,0.5,1
284,12,0.3,0
284,16,0.2,0
284,17,0.5,1
285,1,0.3,0
285,4,0.5,1
285,9,0.2,0
286,2,0.2,0
286,8,0.3,0
286,9,0.5,1
287,13,0.2,0
287,14,0.5,1
287,15,0.3,0
288,1,0.5,1
288,4,0.3,0
288,6,0.2,0
289,6,0.5,1
289,11,0.3,0
289,17,0.2,0
290,10,0.2,0
290,11,0.5,1
290,18,0.3,0
291,3,0.2,0
291,7,0.3,0
291,16,0.5,1
292,5,0.5,1
292,10,0.3,0
292,15,0.2,0
293,3,0.3,0
293,7,0.2,0
293,8,0.5,1
294,10,0.3,0
294,13,0.5,1
294,18,0.2,0
295,11,0.2,0
295,17,0.3,0
295,18,0.5,1
296,4,0.2,0
296,5,0.5,1
296,6,0.3,0
297,10,0.5,1
297,13,0.3,0
297,15,0.2,0
