anime_id,title,original_title,studio_id,sequel_of_anime_id,content_format,source_material,release_year,age_rating,production_status,episode_count,production_budget_usd
1,Azure Voyager 001,Original Title 001,12,,Series,Game,2005,PG,Ongoing,16,5364775.72
2,Crimson Voyager 002,Original Title 002,23,,Movie,Light Novel,2012,PG-13,Announced,16,3171663.78
3,Silent Voyager 003,Original Title 003,34,,OVA,Web Novel,2019,R,Completed,16,5554870.81
4,Neon Voyager 004,Original Title 004,45,,ONA,Original,1998,G,Ongoing,16,4712522.61
5,Celestial Voyager 005,Original Title 005,8,,Series,Manga,2005,PG,Announced,16,674833.52
6,Clockwork Voyager 006,Original Title 006,19,,Movie,Game,2012,PG-13,Completed,16,787893.01
7,Paper Voyager 007,Original Title 007,30,,OVA,Light Novel,2019,R,Ongoing,16,3338704.77
8,Golden Voyager 008,Original Title 008,41,,ONA,Web Novel,1998,G,Announced,16,4453044.9
9,Midnight Voyager 009,Original Title 009,4,,Series,Original,2005,PG,Completed,16,347434.33
10,Electric Voyager 010,Original Title 010,15,,Movie,Manga,2012,PG-13,Ongoing,16,8217494.93
11,Falling Voyager 011,Original Title 011,26,,OVA,Game,2019,R,Announced,16,6052653.54
12,Hidden Voyager 012,Original Title 012,37,,ONA,Light Novel,1998,G,Completed,16,7002397.04
13,Azure Garden 013,Original Title 013,48,,Series,Web Novel,2005,PG,Ongoing,16,2526408.27
14,Crimson Garden 014,Original Title 014,11,,Movie,Original,2012,PG-13,Announced,16,5582146.75
15,Silent Garden 015,Original Title 015,22,,OVA,Manga,2019,R,Completed,16,3172293.21
16,Neon Garden 016,Original Title 016,33,,ONA,Game,1998,G,Ongoing,16,8179465.63
17,Celestial Garden 017,Original Title 017,44,,Series,Light Novel,2005,PG,Announced,16,1654593.56
18,Clockwork Garden 018,Original Title 018,7,,Movie,Web Novel,2012,PG-13,Completed,16,2291315.7
19,Paper Garden 019,Original Title 019,18,,OVA,Original,2019,R,Ongoing,16,2232161.63
20,Golden Garden 020,Original Title 020,29,,ONA,Manga,1998,G,Announced,16,4879963.88
21,Midnight Garden 021,Original Title 021,40,,Series,Game,2005,PG,Completed,16,8405497.81
