episode_id,anime_id,season_number,episode_number,episode_title,release_date_key,duration_seconds,is_filler
1,1,1,1,Episode 01: Chapter 3,20230118,1350,0
2,1,1,2,Episode 02: Chapter 4,20230125,1367,0
3,1,1,3,Episode 03: Chapter 5,20230201,1384,0
4,1,1,4,Episode 04: Chapter 6,20230208,1401,0
5,1,1,5,Episode 05: Chapter 7,20230215,1418,0
6,1,1,6,Episode 06: Chapter 8,20230222,1435,0
7,1,1,7,Episode 07: Chapter 9,20230301,1452,0
8,1,1,8,Episode 08: Chapter 10,20230308,1469,0
9,1,1,9,Episode 09: Chapter 11,20230315,1486,0
10,1,1,10,Episode 10: Chapter 12,20230322,1503,0
11,1,1,11,Episode 11: Chapter 13,20230329,1520,0
12,1,1,12,Episode 12: Chapter 14,20230405,1537,0
13,1,2,1,Episode 13: Chapter 15,20230412,1554,0
14,1,2,2,Episode 14: Chapter 16,20230419,1571,0
15,1,2,3,Episode 15: Chapter 17,20230426,1588,0
16,1,2,4,Episode 16: Chapter 18,20230503,1605,1
17,2,1,1,Episode 01: Chapter 4,20230204,1363,0
18,2,1,2,Episode 02: Chapter 5,20230211,1380,0
19,2,1,3,Episode 03: Chapter 6,20230218,1397,0
20,2,1,4,Episode 04: Chapter 7,20230225,1414,0
21,2,1,5,Episode 05: Chapter 8,20230304,1431,0
22,2,1,6,Episode 06: Chapter 9,20230311,1448,0
23,2,1,7,Episode 07: Chapter 10,20230318,1465,0
24,2,1,8,Episode 08: Chapter 11,20230325,1482,0
25,2,1,9,Episode 09: Chapter 12,20230401,1499,0
26,2,1,10,Episode 10: Chapter 13,20230408,1516,0
27,2,1,11,Episode 11: Chapter 14,20230415,1533,0
28,2,1,12,Episode 12: Chapter 15,20230422,1550,0
29,2,2,1,Episode 13: Chapter 16,20230429,1567,0
30,2,2,2,Episode 14: Chapter 17,20230506,1584,0
31,2,2,3,Episode 15: Chapter 18,20230513,1601,1
32,2,2,4,Episode 16: Chapter 19,20230520,1618,0
