product_id,anime_id,sku,product_name,product_category,license_type,unit_cost_usd,list_price_usd
1,18,ANI-00001,Blu-ray Collection 0001,Blu-ray,Limited,34.79,74.22
2,35,ANI-00002,Apparel Collection 0002,Apparel,Standard,51.12,85.55
3,52,ANI-00003,Accessory Collection 0003,Accessory,Exclusive,10.41,19.79
4,69,ANI-00004,Poster Collection 0004,Poster,Limited,55.46,85.25
5,86,ANI-00005,Figure Collection 0005,Figure,Standard,65.93,116.11
6,103,ANI-00006,Blu-ray Collection 0006,Blu-ray,Exclusive,53.81,87.04
7,120,ANI-00007,Apparel Collection 0007,Apparel,Limited,28.2,68.98
8,137,ANI-00008,Accessory Collection 0008,Accessory,Standard,79.78,189.05
9,154,ANI-00009,Poster Collection 0009,Poster,Exclusive,42.27,74.95
10,171,ANI-00010,Figure Collection 0010,Figure,Limited,14.18,28.47
11,188,ANI-00011,Blu-ray Collection 0011,Blu-ray,Standard,70.95,135.09
12,205,ANI-00012,Apparel Collection 0012,Apparel,Exclusive,68.15,111.47
13,222,ANI-00013,Accessory Collection 0013,Accessory,Limited,89.41,168.71
14,239,ANI-00014,Poster Collection 0014,Poster,Standard,85.38,131.92
15,256,ANI-00015,Figure Collection 0015,Figure,Exclusive,31.6,76.05
16,273,ANI-00016,Blu-ray Collection 0016,Blu-ray,Limited,81.77,137.32
17,290,ANI-00017,Apparel Collection 0017,Apparel,Standard,29.28,40.61
18,307,ANI-00018,Accessory Collection 0018,Accessory,Exclusive,48.14,111.78
19,324,ANI-00019,Poster Collection 0019,Poster,Limited,67.21,111.97
20,,ANI-00020,Figure Collection 0020,Figure,Standard,87.72,126.0
21,358,ANI-00021,Blu-ray Collection 0021,Blu-ray,Exclusive,29.47,59.81
22,15,ANI-00022,Apparel Collection 0022,Apparel,Limited,20.04,44.42
23,32,ANI-00023,Accessory Collection 0023,Accessory,Standard,82.23,212.46
24,49,ANI-00024,Poster Collection 0024,Poster,Exclusive,25.62,40.68
25,66,ANI-00025,Figure Collection 0025,Figure,Limited,37.13,75.74
26,83,ANI-00026,Blu-ray Collection 0026,Blu-ray,Standard,77.13,180.04
27,100,ANI-00027,Apparel Collection 0027,Apparel,Exclusive,16.75,23.58
28,117,ANI-00028,Accessory Collection 0028,Accessory,Limited,70.9,107.75
29,134,ANI-00029,Poster Collection 0029,Poster,Standard,3.37,7.36
30,151,ANI-00030,Figure Collection 0030,Figure,Exclusive,30.56,52.47
31,168,ANI-00031,Blu-ray Collection 0031,Blu-ray,Limited,3.2,4.76
32,185,ANI-00032,Apparel Collection 0032,Apparel,Standard,12.0,17.16
33,202,ANI-00033,Accessory Collection 0033,Accessory,Exclusive,64.41,156.65
34,219,ANI-00034,Poster Collection 0034,Poster,Limited,60.97,100.43
35,236,ANI-00035,Figure Collection 0035,Figure,Standard,32.73,68.47
36,253,ANI-00036,Blu-ray Collection 0036,Blu-ray,Exclusive,39.45,70.09
37,270,ANI-00037,Apparel Collection 0037,Apparel,Limited,89.12,140.12
38,287,ANI-00038,Accessory Collection 0038,Accessory,Standard,84.48,142.49
39,304,ANI-00039,Poster Collection 0039,Poster,Exclusive,46.64,97.04
