impression_id,user_id,anime_id,watch_session_id,impression_date_key,ad_format,advertiser_industry,placement,completed_flag,clicked_flag,revenue_usd
1,1428,131,42,20230120,Sponsored Card,Entertainment,Anime Detail,1,0,0.0108
2,625,274,83,20230208,Display,Technology,Search,1,0,0.07
3,5757,115,124,20230227,Mid-roll,Retail,Home Feed,1,0,0.0704
4,1473,163,165,20230318,Pre-roll,Food,Player,1,0,0.036
5,937,167,206,20230406,Sponsored Card,Gaming,Anime Detail,1,0,0.0258
6,1958,298,247,20230425,Display,Entertainment,Search,1,1,0.0821
7,4189,242,288,20230514,Mid-roll,Technology,Home Feed,0,0,0.0734
8,3647,176,329,20230602,Pre-roll,Retail,Player,1,0,0.0628
9,5628,10,,20230621,Sponsored Card,Food,Anime Detail,0,0,0.0264
10,369,7,411,20230710,Display,Gaming,Search,1,0,0.0368
11,5387,46,452,20230729,Mid-roll,Entertainment,Home Feed,1,0,0.0263
12,2290,111,493,20230817,Pre-roll,Technology,Player,0,0,0.0355
13,930,84,534,20230905,Sponsored Card,Retail,Anime Detail,0,0,0.0426
14,3260,116,575,20230924,Display,Food,Search,1,0,0.0737
15,3309,294,616,20231013,Mid-roll,Gaming,Home Feed,1,0,0.033
16,1681,261,657,20231101,Pre-roll,Entertainment,Player,0,0,0.0801
17,,25,698,20231120,Sponsored Card,Technology,Anime Detail,1,0,0.039
18,3215,19,,20231209,Display,Retail,Search,1,0,0.0537
19,2298,57,780,20231228,Mid-roll,Food,Home Feed,1,0,0.0218
20,1962,318,821,20240116,Pre-roll,Gaming,Player,1,0,0.0802
21,5435,349,862,20240204,Sponsored Card,Entertainment,Anime Detail,1,0,0.0074
22,4968,225,903,20240223,Display,Technology,Search,1,0,0.0227
23,2348,99,944,20240313,Mid-roll,Retail,Home Feed,1,1,0.0148
24,5686,360,985,20240401,Pre-roll,Food,Player,1,1,0.0401
25,5102,245,1026,20240420,Sponsored Card,Gaming,Anime Detail,1,0,0.0163
26,5879,325,1067,20240509,Display,Entertainment,Search,1,0,0.0083
27,2769,28,,20240528,Mid-roll,Technology,Home Feed,0,0,0.0326
28,1871,190,1149,20240616,Pre-roll,Retail,Player,0,0,0.0731
29,3081,202,1190,20240705,Sponsored Card,Food,Anime Detail,1,0,0.0497
30,1358,64,1231,20240724,Display,Gaming,Search,1,0,0.007
31,4040,77,1272,20240812,Mid-roll,Entertainment,Home Feed,0,0,0.055
32,5043,11,1313,20240831,Pre-roll,Technology,Player,0,0,0.0273
33,5707,277,1354,20240919,Sponsored Card,Retail,Anime Detail,1,0,0.0618
34,,332,1395,20241008,Display,Food,Search,1,1,0.0764
35,5673,39,1436,20241027,Mid-roll,Gaming,Home Feed,1,0,0.0621
36,506,37,,20241115,Pre-roll,Entertainment,Player,1,0,0.0198
37,265,32,1518,20241204,Sponsored Card,Technology,Anime Detail,1,0,0.0405
38,3338,113,1559,20241223,Display,Retail,Search,1,0,0.0821
39,2739,238,1600,20250111,Mid-roll,Food,Home Feed,0,0,0.0415
40,5392,273,1641,20250130,Pre-roll,Gaming,Player,1,0,0.0554
41,2464,165,1682,20250218,Sponsored Card,Entertainment,Anime Detail,0,0,0.0444
42,3803,48,1723,20250309,Display,Technology,Search,1,0,0.0302
43,4673,2,1764,20250328,Mid-roll,Retail,Home Feed,1,1,0.0685
44,825,57,1805,20250416,Pre-roll,Food,Player,1,0,0.0096
45,2455,46,,20250505,Sponsored Card,Gaming,Anime Detail,1,0,0.0299
46,2587,260,1887,20250524,Display,Entertainment,Search,1,0,0.0541
47,5188,254,1928,20250612,Mid-roll,Technology,Home Feed,1,0,0.0516
48,3553,25,1969,20250701,Pre-roll,Retail,Player,1,0,0.0641
49,4881,359,2010,20250720,Sponsored Card,Food,Anime Detail,1,0,0.0057
50,3642,184,2051,20250808,Display,Gaming,Search,1,0,0.0535
51,,10,2092,20250827,Mid-roll,Entertainment,Home Feed,0,0,0.0766
52,1842,228,2133,20250915,Pre-roll,Technology,Player,1,0,0.0348
53,2240,76,2174,20251004,Sponsored Card,Retail,Anime Detail,0,0,0.0739
54,4256,55,,20251023,Display,Food,Search,1,0,0.0677
55,588,291,2256,20251111,Mid-roll,Gaming,Home Feed,1,0,0.0421
56,5402,88,2297,20251130,Pre-roll,Entertainment,Player,1,0,0.0286
57,3932,22,2338,20251219,Sponsored Card,Technology,Anime Detail,0,0,0.0668
58,1263,81,2379,20230107,Display,Retail,Search,1,0,0.0666
59,3733,207,2420,20230126,Mid-roll,Food,Home Feed,0,0,0.0777
60,2297,21,2461,20230214,Pre-roll,Gaming,Player,0,0,0.043
61,2054,97,2502,20230305,Sponsored Card,Entertainment,Anime Detail,0,0,0.0344
62,4930,303,2543,20230324,Display,Technology,Search,1,0,0.0614
63,143,64,,20230412,Mid-roll,Retail,Home Feed,1,0,0.0655
64,1802,297,2625,20230501,Pre-roll,Food,Player,1,1,0.0807
65,3395,176,2666,20230520,Sponsored Card,Gaming,Anime Detail,1,0,0.0696
66,5219,20,2707,20230608,Display,Entertainment,Search,1,0,0.0659
67,5012,27,2748,20230627,Mid-roll,Technology,Home Feed,1,1,0.0606
68,,222,2789,20230716,Pre-roll,Retail,Player,1,0,0.0562
69,3291,137,2830,20230804,Sponsored Card,Food,Anime Detail,1,0,0.0409
70,1992,3,2871,20230823,Display,Gaming,Search,1,0,0.02
71,5781,330,2912,20230911,Mid-roll,Entertainment,Home Feed,1,0,0.037
72,1614,73,,20230930,Pre-roll,Technology,Player,1,0,0.0279
73,406,219,2994,20231019,Sponsored Card,Retail,Anime Detail,1,0,0.0745
74,1100,238,3035,20231107,Display,Food,Search,1,0,0.0761
75,5765,303,3076,20231126,Mid-roll,Gaming,Home Feed,0,0,0.0821
76,1987,139,3117,20231215,Pre-roll,Entertainment,Player,1,0,0.0658
77,420,4,3158,20240103,Sponsored Card,Technology,Anime Detail,0,0,0.0198
78,3230,275,3199,20240122,Display,Retail,Search,1,0,0.069
79,1242,162,3240,20240210,Mid-roll,Food,Home Feed,1,0,0.0848
80,2833,267,3281,20240229,Pre-roll,Gaming,Player,1,0,0.0345
81,900,82,,20240319,Sponsored Card,Entertainment,Anime Detail,1,1,0.0775
82,4259,348,3363,20240407,Display,Technology,Search,1,0,0.0682
83,278,321,3404,20240426,Mid-roll,Retail,Home Feed,0,0,0.0075
84,2701,208,3445,20240515,Pre-roll,Food,Player,1,0,0.0587
85,,306,3486,20240603,Sponsored Card,Gaming,Anime Detail,0,0,0.0804
86,1397,203,3527,20240622,Display,Entertainment,Search,1,0,0.0662
87,462,42,3568,20240711,Mid-roll,Technology,Home Feed,0,0,0.0196
88,1361,299,3609,20240730,Pre-roll,Retail,Player,1,0,0.0224
89,169,3,3650,20240818,Sponsored Card,Food,Anime Detail,1,0,0.0601
90,4257,91,,20240906,Display,Gaming,Search,1,0,0.0237
91,3646,18,3732,20240925,Mid-roll,Entertainment,Home Feed,0,0,0.0361
92,5085,166,3773,20241014,Pre-roll,Technology,Player,1,0,0.0577
93,1130,179,3814,20241102,Sponsored Card,Retail,Anime Detail,1,0,0.0758
94,2296,19,3855,20241121,Display,Food,Search,1,0,0.0144
95,5657,312,3896,20241210,Mid-roll,Gaming,Home Feed,1,0,0.0608
96,4445,105,3937,20241229,Pre-roll,Entertainment,Player,0,0,0.0596
97,5741,106,3978,20250117,Sponsored Card,Technology,Anime Detail,1,1,0.0237
98,1798,41,4019,20250205,Display,Retail,Search,1,0,0.0497
99,1724,100,,20250224,Mid-roll,Food,Home Feed,1,0,0.0211
100,1182,311,4101,20250315,Pre-roll,Gaming,Player,1,0,0.0602
101,2511,224,4142,20250403,Sponsored Card,Entertainment,Anime Detail,1,0,0.0286
102,,149,4183,20250422,Display,Technology,Search,1,0,0.0633
103,1719,162,4224,20250511,Mid-roll,Retail,Home Feed,1,0,0.0221
104,231,264,4265,20250530,Pre-roll,Food,Player,0,0,0.079
105,3971,275,4306,20250618,Sponsored Card,Gaming,Anime Detail,0,0,0.0714
106,2173,342,4347,20250707,Display,Entertainment,Search,1,0,0.0085
107,2417,16,4388,20250726,Mid-roll,Technology,Home Feed,1,1,0.0051
108,5070,109,,20250814,Pre-roll,Retail,Player,1,0,0.0412
109,3693,278,4470,20250902,Sponsored Card,Food,Anime Detail,1,0,0.0741
110,349,49,4511,20250921,Display,Gaming,Search,1,0,0.0518
111,4925,68,4552,20251010,Mid-roll,Entertainment,Home Feed,0,0,0.0813
112,3229,317,4593,20251029,Pre-roll,Technology,Player,0,0,0.08
113,3152,73,4634,20251117,Sponsored Card,Retail,Anime Detail,1,0,0.0638
114,2350,26,4675,20251206,Display,Food,Search,1,0,0.016
115,2360,10,4716,20251225,Mid-roll,Gaming,Home Feed,1,1,0.0375
116,1502,176,4757,20230113,Pre-roll,Entertainment,Player,1,1,0.0055
117,2204,118,,20230201,Sponsored Card,Technology,Anime Detail,0,0,0.0476
118,1216,241,4839,20230220,Display,Retail,Search,1,1,0.0759
119,,179,4880,20230311,Mid-roll,Food,Home Feed,0,0,0.0758
120,1447,352,4921,20230330,Pre-roll,Gaming,Player,0,0,0.0247
121,1599,291,4962,20230418,Sponsored Card,Entertainment,Anime Detail,1,0,0.0611
122,720,261,5003,20230507,Display,Technology,Search,1,0,0.0739
123,4981,272,5044,20230526,Mid-roll,Retail,Home Feed,1,0,0.0093
124,1255,227,5085,20230614,Pre-roll,Food,Player,1,0,0.0336
125,5514,31,5126,20230703,Sponsored Card,Gaming,Anime Detail,1,0,0.0401
126,3349,127,,20230722,Display,Entertainment,Search,1,0,0.0709
127,3293,52,5208,20230810,Mid-roll,Technology,Home Feed,1,0,0.0804
128,5872,284,5249,20230829,Pre-roll,Retail,Player,0,0,0.0047
129,5713,63,5290,20230917,Sponsored Card,Food,Anime Detail,1,0,0.0734
130,3302,93,5331,20231006,Display,Gaming,Search,1,0,0.0429
131,4364,57,5372,20231025,Mid-roll,Entertainment,Home Feed,1,0,0.0307
132,3300,124,5413,20231113,Pre-roll,Technology,Player,1,0,0.0233
133,1307,60,5454,20231202,Sponsored Card,Retail,Anime Detail,0,0,0.0418
134,5513,35,5495,20231221,Display,Food,Search,1,0,0.0138
135,2834,136,,20240109,Mid-roll,Gaming,Home Feed,1,1,0.0177
136,,194,5577,20240128,Pre-roll,Entertainment,Player,0,0,0.0228
137,3385,232,5618,20240216,Sponsored Card,Technology,Anime Detail,0,0,0.0073
138,1812,240,5659,20240306,Display,Retail,Search,1,0,0.0488
139,286,162,5700,20240325,Mid-roll,Food,Home Feed,0,0,0.0833
140,4539,4,5741,20240413,Pre-roll,Gaming,Player,0,0,0.0293
141,1320,228,5782,20240502,Sponsored Card,Entertainment,Anime Detail,0,0,0.0351
142,4504,283,5823,20240521,Display,Technology,Search,1,0,0.076
143,1415,116,5864,20240609,Mid-roll,Retail,Home Feed,1,0,0.0775
144,130,145,,20240628,Pre-roll,Food,Player,1,0,0.0126
145,2430,337,5946,20240717,Sponsored Card,Gaming,Anime Detail,1,0,0.0379
146,2019,189,5987,20240805,Display,Entertainment,Search,1,0,0.0844
147,4411,354,6028,20240824,Mid-roll,Technology,Home Feed,1,0,0.0351
148,4837,224,6069,20240912,Pre-roll,Retail,Player,0,0,0.0319
149,2591,352,6110,20241001,Sponsored Card,Food,Anime Detail,0,0,0.0267
150,3612,149,6151,20241020,Display,Gaming,Search,1,0,0.0249
151,4778,264,6192,20241108,Mid-roll,Entertainment,Home Feed,0,0,0.0611
152,5701,127,6233,20241127,Pre-roll,Technology,Player,1,0,0.0205
153,,154,,20241216,Sponsored Card,Retail,Anime Detail,0,0,0.0603
154,4054,189,6315,20250104,Display,Food,Search,1,0,0.0825
155,3859,94,6356,20250123,Mid-roll,Gaming,Home Feed,1,0,0.0481
156,514,47,6397,20250211,Pre-roll,Entertainment,Player,1,0,0.0198
157,612,127,6438,20250302,Sponsored Card,Technology,Anime Detail,0,0,0.0204
158,2675,325,6479,20250321,Display,Retail,Search,1,0,0.083
159,331,85,6520,20250409,Mid-roll,Food,Home Feed,0,0,0.0081
160,5120,3,6561,20250428,Pre-roll,Gaming,Player,1,0,0.0502
161,2894,162,6602,20250517,Sponsored Card,Entertainment,Anime Detail,0,0,0.0528
162,1859,163,,20250605,Display,Technology,Search,1,0,0.0085
