order_id,user_id,order_date_key,sales_channel,shipping_region,order_status,gross_amount_usd,discount_usd,shipping_usd,net_amount_usd
1,3005,20231123,Partner,Latin America,Completed,239.89,0.0,0.0,239.89
2,2196,20251201,Convention,APAC,Completed,315.93,0.0,0.0,315.93
3,962,20250613,Mobile,Europe,Completed,165.45,0.0,0.0,165.45
4,3697,20250502,Web,Latin America,Completed,167.22,2.39,0.0,164.83
5,4428,20250302,Partner,APAC,Completed,214.98,0.0,0.0,214.98
6,4995,20230129,Convention,North America,Completed,417.79,0.0,0.0,417.79
7,2884,20231030,Mobile,APAC,Completed,233.39,21.18,0.0,212.21
8,1191,20240509,Web,North America,Completed,377.86,0.0,0.0,377.86
9,5785,20250223,Partner,Latin America,Completed,251.74,0.0,0.0,251.74
10,2271,20230701,Convention,North America,Completed,488.44,0.95,0.0,487.49
11,3306,20240711,Mobile,Europe,Completed,168.68,0.0,0.0,168.68
12,1232,20230503,Web,APAC,Completed,258.64,0.0,0.0,258.64
13,2119,20230206,Partner,North America,Completed,314.86,32.81,0.0,282.05
14,2512,20250105,Convention,APAC,Completed,74.53,0.0,10.33,84.86
15,5894,20241015,Mobile,Europe,Completed,383.45,0.0,0.0,383.45
16,4757,20251126,Web,Latin America,Completed,267.42,9.54,0.0,257.88
17,3003,20230108,Partner,North America,Completed,272.6,0.0,0.0,272.6
18,3041,20230628,Convention,Latin America,Completed,210.9,0.0,0.0,210.9
19,1845,20251230,Mobile,Latin America,Completed,147.57,0.0,0.0,147.57
20,737,20230406,Web,Latin America,Completed,345.62,17.84,0.0,327.78
21,3522,20231022,Partner,Europe,Completed,132.45,0.0,0.0,132.45
22,4130,20241021,Convention,Europe,Completed,359.35,0.0,0.0,359.35
23,4145,20250724,Mobile,Latin America,Cancelled,142.2,16.71,0.0,125.49
24,3668,20250731,Web,APAC,Completed,249.29,0.0,0.0,249.29
25,4270,20231219,Partner,Europe,Completed,315.64,0.0,0.0,315.64
26,3025,20230722,Convention,Latin America,Completed,98.23,1.62,0.0,96.61
27,1395,20251018,Mobile,North America,Completed,182.97,0.0,0.0,182.97
28,5587,20230516,Web,North America,Completed,470.92,0.0,0.0,470.92
29,5608,20241225,Partner,APAC,Completed,130.32,0.79,0.0,129.53
30,384,20250913,Convention,APAC,Refunded,341.28,0.0,0.0,341.28
31,4675,20250924,Mobile,North America,Completed,268.26,0.0,0.0,268.26
32,3981,20250526,Web,Latin America,Completed,476.43,9.1,0.0,467.33
33,1920,20251109,Partner,APAC,Completed,54.32,0.0,6.7,61.02
34,5160,20230516,Convention,APAC,Completed,327.84,0.0,0.0,327.84
35,5410,20250108,Mobile,Europe,Completed,187.68,0.0,0.0,187.68
36,4840,20241026,Web,APAC,Completed,290.44,17.04,0.0,273.4
37,3513,20250403,Partner,Latin America,Completed,212.87,0.0,0.0,212.87
38,1876,20250106,Convention,APAC,Completed,269.27,0.0,0.0,269.27
39,2041,20230117,Mobile,Latin America,Completed,130.18,14.52,0.0,115.66
40,3197,20230422,Web,Latin America,Completed,270.03,0.0,0.0,270.03
41,4650,20250901,Partner,Europe,Completed,252.41,0.0,0.0,252.41
42,1455,20240225,Convention,North America,Cancelled,149.66,6.21,0.0,143.45
43,5736,20240108,Mobile,APAC,Completed,115.87,0.0,0.0,115.87
44,4616,20250821,Web,APAC,Completed,236.8,0.0,0.0,236.8
45,2501,20241211,Partner,Latin America,Completed,569.37,25.82,0.0,543.55
46,5884,20240805,Convention,APAC,Completed,211.78,0.0,0.0,211.78
47,3841,20230401,Mobile,Latin America,Completed,310.62,0.0,0.0,310.62
48,542,20240409,Web,Europe,Cancelled,131.25,8.38,0.0,122.87
49,5226,20240902,Partner,Europe,Completed,138.23,0.0,0.0,138.23
50,3809,20250512,Convention,Latin America,Completed,261.0,0.0,0.0,261.0
51,2348,20231207,Mobile,APAC,Completed,247.19,0.0,0.0,247.19
52,1602,20251003,Web,Europe,Completed,231.18,21.7,0.0,209.48
53,658,20230623,Partner,Europe,Completed,84.95,0.0,0.0,84.95
54,3946,20230425,Convention,Europe,Completed,329.79,0.0,0.0,329.79
55,1894,20250325,Mobile,Europe,Completed,196.58,4.09,0.0,192.49
56,2916,20250925,Web,APAC,Completed,265.17,0.0,0.0,265.17
57,2726,20240927,Partner,Europe,Completed,196.5,0.0,0.0,196.5
58,4114,20230823,Convention,Europe,Completed,142.15,0.82,0.0,141.33
59,2979,20241006,Mobile,North America,Completed,181.69,0.0,0.0,181.69
60,1306,20250513,Web,Europe,Completed,450.84,0.0,0.0,450.84
61,3795,20230521,Partner,North America,Completed,39.79,1.42,10.3,48.67
62,4736,20250305,Convention,APAC,Completed,282.16,0.0,0.0,282.16
63,4807,20250420,Mobile,North America,Completed,303.45,0.0,0.0,303.45
64,3375,20230215,Web,North America,Completed,237.14,13.76,0.0,223.38
65,3203,20230527,Partner,North America,Completed,35.6,0.0,7.18,42.78
66,1530,20230524,Convention,Europe,Completed,424.65,0.0,0.0,424.65
67,96,20250921,Mobile,APAC,Refunded,255.98,0.0,0.0,255.98
68,4669,20230103,Web,Latin America,Completed,271.51,19.27,0.0,252.24
69,3891,20240910,Partner,North America,Cancelled,249.28,0.0,0.0,249.28
70,714,20250904,Convention,Europe,Completed,179.41,0.0,0.0,179.41
71,1435,20241218,Mobile,North America,Completed,243.15,24.09,0.0,219.06
