order_item_id,order_id,product_id,quantity,unit_price_usd,discount_usd,net_amount_usd
1,1,339,1,141.46,0.0,141.46
2,1,256,1,98.43,0.0,98.43
3,2,730,1,29.33,0.0,29.33
4,2,533,1,101.84,0.0,101.84
5,2,638,1,184.76,0.0,184.76
6,3,56,1,128.93,0.0,128.93
7,3,160,1,36.52,0.0,36.52
8,4,694,1,15.92,2.39,13.53
9,4,353,1,96.29,0.0,96.29
10,4,569,1,55.01,0.0,55.01
11,5,673,1,114.39,0.0,114.39
12,5,313,1,100.59,0.0,100.59
13,6,79,1,142.28,0.0,142.28
14,6,738,1,144.28,0.0,144.28
15,6,292,1,131.23,0.0,131.23
16,7,557,1,141.2,21.18,120.02
17,7,765,1,92.19,0.0,92.19
18,8,153,1,91.96,0.0,91.96
19,8,365,1,213.84,0.0,213.84
20,8,329,1,72.06,0.0,72.06
21,9,372,1,116.35,0.0,116.35
22,9,448,1,135.39,0.0,135.39
23,10,540,2,163.01,0.0,326.02
24,10,614,1,6.31,0.95,5.36
25,10,436,1,156.11,0.0,156.11
26,11,302,1,117.36,0.0,117.36
27,11,287,1,51.32,0.0,51.32
28,12,98,2,38.61,0.0,77.22
29,12,10,2,28.47,0.0,56.94
30,12,230,2,62.24,0.0,124.48
31,13,184,1,96.14,0.0,96.14
32,13,276,1,218.72,32.81,185.91
33,14,571,1,34.27,0.0,34.27
34,14,735,1,14.73,0.0,14.73
35,14,505,1,25.53,0.0,25.53
36,15,500,1,198.79,0.0,198.79
37,15,128,2,92.33,0.0,184.66
38,16,762,1,171.57,0.0,171.57
39,16,297,1,32.24,0.0,32.24
40,16,465,1,63.61,9.54,54.07
41,17,95,1,185.88,0.0,185.88
42,17,215,1,86.72,0.0,86.72
43,18,730,2,29.33,0.0,58.66
44,18,456,1,23.32,0.0,23.32
45,18,69,1,128.92,0.0,128.92
46,19,518,1,48.44,0.0,48.44
47,19,428,1,99.13,0.0,99.13
48,20,854,1,118.93,17.84,101.09
49,20,115,1,128.49,0.0,128.49
50,20,241,1,98.2,0.0,98.2
51,21,753,1,58.55,0.0,58.55
52,21,806,1,73.9,0.0,73.9
53,22,561,2,42.43,0.0,84.86
54,22,577,1,176.45,0.0,176.45
55,22,524,1,98.04,0.0,98.04
56,23,49,1,111.43,16.71,94.72
57,23,139,1,30.77,0.0,30.77
58,24,565,1,71.7,0.0,71.7
59,24,301,1,85.63,0.0,85.63
60,24,153,1,91.96,0.0,91.96
61,25,780,1,192.31,0.0,192.31
62,25,165,1,123.33,0.0,123.33
63,26,670,1,5.46,0.0,5.46
64,26,112,1,10.83,1.62,9.21
65,26,634,2,40.97,0.0,81.94
66,27,882,1,84.93,0.0,84.93
67,27,524,1,98.04,0.0,98.04
68,28,681,1,121.46,0.0,121.46
69,28,604,1,217.54,0.0,217.54
70,28,14,1,131.92,0.0,131.92
71,29,41,1,125.06,0.0,125.06
72,29,236,1,5.26,0.79,4.47
73,30,735,1,14.73,0.0,14.73
74,30,194,1,180.45,0.0,180.45
75,30,407,1,146.1,0.0,146.1
