rating_id,user_id,anime_id,rating_date_key,score,review_length,helpful_votes,spoiler_flag
1,5786,32,20240802,6.7,90,4,0
2,662,309,20251102,8.0,586,1,0
3,1223,45,20240809,7.7,253,4,0
4,5477,36,20250818,5.5,84,4,0
5,2462,36,20240422,7.5,664,3,0
6,2588,239,20231127,10.0,134,3,0
7,1122,281,20240421,8.7,437,6,0
8,4959,149,20251025,5.0,468,13,0
9,2467,167,20241002,8.2,395,0,0
10,913,70,20250404,7.1,691,3,0
11,3033,50,20251001,7.4,75,0,0
12,5794,260,20250106,7.0,99,5,0
13,146,151,20250525,3.8,32,4,1
14,1624,27,20241028,7.4,21,4,0
15,1850,84,20241128,6.9,842,2,0
16,2542,352,20250303,7.3,922,2,0
17,3737,340,20240517,9.2,1071,0,0
18,202,31,20240127,10.0,1181,0,0
19,3682,299,20241225,5.9,391,8,0
20,3171,135,20230812,7.2,734,8,0
21,3076,347,20251119,8.7,721,4,0
22,3801,301,20230524,7.0,222,4,0
23,2838,211,20230628,6.6,767,1,0
24,3361,268,20240913,7.0,1153,25,0
25,304,234,20230228,5.4,380,14,0
26,3305,312,20241101,6.7,904,10,1
27,1633,205,20250202,7.5,322,1,0
28,4394,53,20241116,6.8,112,3,0
29,1093,46,20250317,7.2,613,1,0
30,2932,170,20231023,7.2,174,2,0
31,4968,311,20230309,7.7,466,4,0
32,4429,86,20231128,6.9,123,1,0
33,2403,38,20230825,9.3,262,0,0
34,2598,159,20251206,9.0,913,4,0
35,1037,164,20231102,7.8,935,11,0
36,5872,102,20230811,7.0,189,12,0
37,4430,47,20240205,5.1,1018,5,0
38,2345,44,20241217,10.0,1112,0,0
39,87,12,20251125,7.7,846,2,1
40,5560,167,20240728,5.8,373,2,0
41,1146,249,20241113,8.0,1101,0,0
42,5869,61,20240912,5.6,740,7,0
43,3382,71,20230624,6.7,134,0,0
44,5773,88,20251228,8.9,1076,2,0
45,4881,183,20230729,8.3,271,8,0
46,5421,229,20251013,8.3,700,1,0
47,2375,142,20250808,5.0,878,6,0
48,5241,130,20230312,7.4,96,1,0
49,4935,156,20230905,6.8,1093,2,0
50,5897,2,20240903,7.7,209,3,0
51,2417,95,20251118,10.0,354,7,0
52,1499,118,20230804,6.3,1138,8,1
53,4744,306,20231115,8.4,871,4,0
54,4503,344,20230917,7.8,274,12,0
55,4007,10,20230708,7.9,770,15,0
56,2138,15,20251211,4.6,287,3,0
57,2725,93,20230430,3.9,166,1,0
58,2685,125,20230322,6.4,561,8,0
59,3027,229,20240708,8.6,441,4,0
60,5078,307,20250428,6.4,554,0,0
61,1059,120,20250904,7.7,228,5,0
62,4554,139,20250413,9.7,342,3,0
63,4839,3,20230414,8.3,181,5,0
64,5175,227,20240621,8.3,874,1,0
65,5627,173,20240124,9.3,76,4,1
66,1453,177,20250914,9.1,576,5,0
67,3532,159,20230427,6.9,484,1,0
68,2245,159,20230216,6.4,186,10,0
69,256,294,20231003,6.9,459,2,0
70,3196,4,20251212,7.4,166,11,0
71,1062,332,20240620,6.7,799,9,0
72,1798,62,20251219,8.8,360,8,0
