subscription_id,user_id,start_date_key,end_date_key,plan_name,billing_cycle,status,monthly_price_usd,discount_usd,recognized_revenue_usd,cancellation_reason
1,38,20240814,20250814,Family,Monthly,Cancelled,14.99,0.0,179.88,Low Usage
2,75,20250423,20251020,Premium,Monthly,Cancelled,9.99,0.0,59.94,Low Usage
3,112,20240614,20241211,Fan,Monthly,Cancelled,5.99,0.0,35.94,Price
4,149,20251031,,Family,Annual,Active,14.99,0.0,29.98,
5,186,20241205,,Premium,Monthly,Active,9.99,0.0,119.88,
6,223,20230628,20230926,Fan,Monthly,Cancelled,5.99,0.0,17.97,Price
7,260,20250216,,Family,Monthly,Active,14.99,0.0,149.9,
8,297,20230715,20230814,Premium,Annual,Cancelled,9.99,0.0,9.99,Low Usage
9,334,20231119,20240517,Fan,Monthly,Cancelled,5.99,1.2,28.74,Price
10,371,20240913,,Family,Monthly,Active,14.99,0.0,224.85,
11,408,20230728,20240727,Premium,Monthly,Cancelled,9.99,0.0,119.88,Low Usage
12,445,20241112,20241212,Fan,Annual,Cancelled,5.99,0.0,5.99,Price
13,482,20230523,20230821,Family,Monthly,Cancelled,14.99,0.0,44.97,Low Usage
14,519,20250206,,Premium,Monthly,Active,9.99,0.0,99.9,
15,556,20230325,,Fan,Monthly,Active,5.99,0.0,71.88,
16,593,20250423,,Family,Annual,Active,14.99,0.0,119.92,
17,630,20250608,,Premium,Monthly,Active,9.99,0.0,59.94,
18,667,20250711,,Fan,Monthly,Active,5.99,1.2,23.95,
19,704,20240726,20241024,Family,Monthly,Cancelled,14.99,0.0,44.97,Low Usage
20,741,20231021,,Premium,Annual,Active,9.99,0.0,239.76,
21,778,20231221,20240618,Fan,Monthly,Cancelled,5.99,0.0,35.94,Price
22,815,20240611,20240909,Family,Monthly,Cancelled,14.99,0.0,44.97,Low Usage
23,852,20241011,20250109,Premium,Monthly,Cancelled,9.99,0.0,29.97,Low Usage
24,889,20240816,20250816,Fan,Annual,Cancelled,5.99,0.0,71.88,Price
25,926,20231016,,Family,Monthly,Active,14.99,0.0,179.88,
26,963,20240424,20241021,Premium,Monthly,Cancelled,9.99,0.0,59.94,Low Usage
27,1000,20230310,20230409,Fan,Monthly,Cancelled,5.99,1.2,4.79,Price
28,1037,20230906,20240304,Family,Annual,Cancelled,14.99,0.0,89.94,Low Usage
29,1074,20240704,20240803,Premium,Monthly,Cancelled,9.99,0.0,9.99,Low Usage
30,1111,20240411,,Fan,Monthly,Active,5.99,0.0,17.97,
31,1148,20230124,20250123,Family,Monthly,Cancelled,14.99,0.0,359.76,Low Usage
32,1185,20240308,20240904,Premium,Annual,Cancelled,9.99,0.0,59.94,Low Usage
33,1222,20230201,20230303,Fan,Monthly,Cancelled,5.99,0.0,5.99,Price
34,1259,20240101,20251231,Family,Monthly,Cancelled,14.99,0.0,359.76,Low Usage
35,1296,20240827,,Premium,Monthly,Active,9.99,0.0,9.99,
36,1333,20250426,,Fan,Annual,Active,5.99,1.2,38.32,
37,1370,20250509,20250807,Family,Monthly,Cancelled,14.99,0.0,44.97,Low Usage
38,1407,20230703,20231230,Premium,Monthly,Cancelled,9.99,0.0,59.94,Low Usage
39,1444,20230510,20231106,Fan,Monthly,Cancelled,5.99,0.0,35.94,Price
40,1481,20230228,,Family,Annual,Active,14.99,0.0,89.94,
41,1518,20240303,,Premium,Monthly,Active,9.99,0.0,219.78,
42,1555,20240509,20240608,Fan,Monthly,Cancelled,5.99,0.0,5.99,Price
43,1592,20231209,20241208,Family,Monthly,Cancelled,14.99,0.0,179.88,Low Usage
44,1629,20250430,20251027,Premium,Annual,Cancelled,9.99,0.0,59.94,Low Usage
45,1666,20230126,,Fan,Monthly,Active,5.99,1.2,28.74,
46,1703,20250824,20250923,Family,Monthly,Cancelled,14.99,0.0,14.99,Low Usage
47,1740,20240623,20240723,Premium,Monthly,Cancelled,9.99,0.0,9.99,Low Usage
