follow_id,follower_user_id,followed_user_id,follow_date_key,source_surface
1,888,4350,20240522,Recommendation
2,5844,1108,20240918,Watch Party
3,2446,1787,20231221,Review
4,2300,4315,20240225,Profile
5,1827,213,20240917,Recommendation
6,3338,2777,20230308,Watch Party
7,4390,5977,20231121,Review
8,1275,978,20240812,Profile
9,2895,3745,20240524,Recommendation
10,919,4245,20240215,Watch Party
11,1579,159,20230611,Review
12,367,26,20250721,Profile
13,1088,920,20230909,Recommendation
14,1917,3842,20240531,Watch Party
15,3427,5607,20250825,Review
16,3114,955,20230522,Profile
17,1472,4020,20250506,Recommendation
18,5250,66,20230424,Watch Party
19,3413,3094,20230119,Review
20,4948,1481,20230325,Profile
21,3152,162,20230526,Recommendation
22,2982,1861,20250129,Watch Party
23,2084,2680,20250816,Review
24,3448,4886,20241214,Profile
25,565,3139,20240422,Recommendation
26,5387,5388,20230224,Watch Party
27,1879,1004,20230907,Review
28,1603,4605,20240228,Profile
29,512,725,20251208,Recommendation
30,543,846,20241018,Watch Party
31,3732,5669,20250815,Review
32,1553,3070,20240127,Profile
33,4615,2312,20230811,Recommendation
34,2241,2121,20240921,Watch Party
35,3867,3770,20230517,Review
36,378,5942,20230128,Profile
37,4689,693,20250318,Recommendation
38,5041,2795,20241208,Watch Party
39,5990,3789,20230114,Review
40,1138,3014,20251112,Profile
41,1593,4986,20250826,Recommendation
42,4425,3151,20250711,Watch Party
43,4718,1424,20240315,Review
44,3067,1925,20240705,Profile
45,1178,2104,20231116,Recommendation
46,4632,1256,20250210,Watch Party
47,957,3283,20251221,Review
48,5491,4684,20240327,Profile
49,1861,53,20240529,Recommendation
50,4169,1632,20250128,Watch Party
51,776,4227,20230416,Review
52,2316,3312,20241202,Profile
53,2410,3731,20240927,Recommendation
54,3450,1748,20250525,Watch Party
55,4778,5567,20230304,Review
56,5136,1529,20250419,Profile
57,5873,1861,20250212,Recommendation
58,1075,4519,20231231,Watch Party
59,3824,4253,20241009,Review
60,3728,1712,20240103,Profile
61,5254,5480,20240224,Recommendation
62,5263,1542,20250122,Watch Party
63,2503,5977,20240930,Review
64,1075,189,20230310,Profile
65,5721,3052,20250415,Recommendation
66,687,1942,20230309,Watch Party
67,204,1498,20250603,Review
68,1616,3792,20250428,Profile
69,5237,4992,20250410,Recommendation
70,3247,2767,20240612,Watch Party
71,5094,3356,20241009,Review
72,1987,2112,20240802,Profile
73,1301,2852,20240404,Recommendation
74,5982,5851,20230123,Watch Party
75,5536,4081,20251117,Review
76,1324,5347,20251004,Profile
77,1015,2473,20230507,Recommendation
78,5321,2134,20240318,Watch Party
79,2457,4162,20230730,Review
80,3712,3858,20230505,Profile
81,1686,1690,20240729,Recommendation
82,5185,3371,20250625,Watch Party
83,5053,5473,20240106,Review
84,1890,3376,20240617,Profile
85,4316,2442,20230823,Recommendation
86,2716,3755,20250529,Watch Party
87,3615,25,20240223,Review
88,729,3591,20250918,Profile
89,1377,482,20251129,Recommendation
90,1933,3160,20231024,Watch Party
91,2855,5127,20251203,Review
92,1904,5788,20231006,Profile
93,1560,1017,20230607,Recommendation
94,4910,2762,20251024,Watch Party
95,91,5089,20240906,Review
96,3976,2329,20250129,Profile
97,1487,62,20240824,Recommendation
98,707,1101,20240323,Watch Party
99,2978,3801,20240308,Review
100,52,751,20230612,Profile
101,1074,2015,20230709,Recommendation
102,2276,1464,20250730,Watch Party
103,1324,5128,20230408,Review
104,5983,5287,20250817,Profile
105,1845,4589,20231210,Recommendation
106,2407,4734,20251115,Watch Party
107,5922,2523,20240701,Review
108,3096,1995,20240513,Profile
109,1803,167,20250221,Recommendation
110,1814,4112,20230612,Watch Party
111,1613,1639,20241231,Review
112,435,4163,20251106,Profile
113,311,5693,20241214,Recommendation
114,3137,1922,20230817,Watch Party
115,5703,5775,20230906,Review
116,1046,3408,20250812,Profile
117,1614,1243,20250430,Recommendation
118,2569,2498,20250903,Watch Party
119,116,655,20250719,Review
120,3839,381,20231004,Profile
121,5064,3257,20251206,Recommendation
122,1480,35,20240902,Watch Party
