watch_session_id,user_id,episode_id,subscription_id,watch_date_key,started_at,device_type,playback_region,watch_seconds,completion_pct,completed_flag,rewatch_flag,buffering_seconds
1,5920,4567,,20240727,2024-07-27T00:02:17,TV,APAC,943,0.6057,0,0,6
2,2131,4358,,20230214,2023-02-14T00:04:34,Console,North America,668,0.4872,0,0,3
3,792,5456,1643,20240423,2024-04-23T00:06:51,Web,APAC,655,0.487,0,0,3
4,4536,4962,,20250909,2025-09-09T00:09:08,Tablet,APAC,843,0.5866,0,0,4
5,441,3132,8120,20240228,2024-02-28T00:11:25,Mobile,Latin America,1435,0.9246,1,0,63
6,480,1318,4067,20230910,2023-09-10T00:13:42,TV,APAC,1125,0.7917,0,0,21
7,1527,5413,,20240511,2024-05-11T00:15:59,Console,North America,930,0.6233,0,0,2
8,2591,5389,,20230309,2023-03-09T00:18:16,Web,North America,1285,0.8021,0,0,5
9,4353,3706,,20231022,2023-10-22T00:20:33,Tablet,Latin America,1030,0.6335,0,0,14
10,4893,2385,,20230130,2023-01-30T00:22:50,Mobile,Latin America,1377,0.926,1,0,2
11,937,476,,20240913,2024-09-13T00:25:07,TV,Latin America,649,0.4176,0,1,2
12,4355,4205,,20250902,2025-09-02T00:27:24,Console,North America,1184,0.8706,0,0,1
13,5556,5051,5015,20230316,2023-03-16T00:29:41,Web,APAC,1399,0.8453,0,0,15
14,1838,4485,,20250403,2025-04-03T00:31:58,Tablet,Europe,1083,0.7428,0,0,2
15,1323,538,,20250912,2025-09-12T00:34:15,Mobile,North America,389,0.2475,0,0,4
16,2063,640,,20230916,2023-09-16T00:36:32,TV,North America,1293,0.9289,1,0,5
17,4466,819,6445,20230618,2023-06-18T00:38:49,Console,Europe,1189,0.896,0,0,9
18,1875,696,,20240309,2024-03-09T00:41:06,Web,North America,1481,0.8879,0,0,1
19,3525,2943,,20241231,2024-12-31T00:43:23,Tablet,Latin America,273,0.1887,0,0,2
20,5669,2165,,20240315,2024-03-15T00:45:40,Mobile,Latin America,517,0.3765,0,0,3
21,5511,345,3230,20250915,2025-09-15T00:47:57,TV,North America,956,0.6833,0,0,6
22,596,1499,,20230608,2023-06-08T00:50:14,Console,APAC,1504,0.9121,1,1,3
23,3189,1851,,20230901,2023-09-01T00:52:31,Web,Latin America,462,0.2933,0,0,2
24,3910,3454,,20251109,2025-11-09T00:54:48,Tablet,Europe,1112,0.7483,0,0,0
25,2499,2981,,20230730,2023-07-30T00:57:05,Mobile,North America,1332,0.7947,0,0,6
26,3529,2596,,20231023,2023-10-23T00:59:22,TV,Latin America,703,0.5219,0,0,10
27,5477,5080,6148,20240428,2024-04-28T01:01:39,Console,Latin America,1511,0.927,1,0,13
28,1894,2195,,20230307,2023-03-07T01:03:56,Web,Europe,304,0.2227,0,0,0
29,4581,5504,4340,20250527,2025-05-27T01:06:13,Tablet,Latin America,1283,0.927,1,0,0
30,2498,5200,,20250213,2025-02-13T01:08:30,Mobile,Europe,1190,0.7949,0,0,4
31,2450,2673,877,20250715,2025-07-15T01:10:47,TV,Europe,1346,0.989,1,0,15
32,11,5479,,20250605,2025-06-05T01:13:04,Console,North America,1492,0.9455,1,0,3
33,1551,2722,,20230107,2023-01-07T01:15:21,Web,North America,936,0.6606,0,1,2
34,5081,2707,4840,20250910,2025-09-10T01:17:38,Tablet,Latin America,1294,0.9106,1,0,5
35,865,4572,,20240915,2024-09-15T01:19:55,Mobile,Latin America,1431,0.8715,0,0,0
36,3190,3380,,20240429,2024-04-29T01:22:12,TV,Europe,1445,0.8898,0,0,3
37,5580,587,4367,20241010,2024-10-10T01:24:29,Console,APAC,1427,0.8765,0,0,11
38,3241,3867,,20230129,2023-01-29T01:26:46,Web,Latin America,971,0.6872,0,0,0
39,2081,2248,1840,20241029,2024-10-29T01:29:03,Tablet,Latin America,533,0.358,0,0,0
40,745,1606,,20230217,2023-02-17T01:31:20,Mobile,Latin America,1508,0.9112,1,0,1
41,1771,1468,210,20240603,2024-06-03T01:33:37,TV,North America,1250,0.7622,0,0,1
42,1428,2096,8471,20241013,2024-10-13T01:35:54,Console,APAC,1339,0.8957,0,0,3
43,5493,306,,20230928,2023-09-28T01:38:11,Web,Latin America,1255,0.7776,0,0,3
44,4329,1169,,20230912,2023-09-12T01:40:28,Tablet,Latin America,1157,0.7327,0,1,0
45,5923,4127,,20240918,2024-09-18T01:42:45,Mobile,North America,552,0.4153,0,0,2
46,205,2275,492,20230824,2023-08-24T01:45:02,TV,Latin America,1287,0.9,1,0,0
47,933,5151,836,20231217,2023-12-17T01:47:19,Console,Latin America,1068,0.7412,0,0,5
48,2611,3083,,20240123,2024-01-23T01:49:36,Web,North America,1242,0.8302,0,0,11
49,3305,4981,,20230319,2023-03-19T01:51:53,Tablet,Latin America,466,0.3105,0,0,15
